2020-10-25 18:13:12.970670
2020-10-25 18:13:13.071367
2020-10-25 18:13:13.172063
2020-10-25 18:13:13.272723
2020-10-25 18:13:13.373402
2020-10-25 18:13:13.474074
2020-10-25 18:13:13.574774
2020-10-25 18:13:13.675462
2020-10-25 18:13:13.776164
2020-10-25 18:13:13.876830
2020-10-25 18:13:13.977533
2020-10-25 18:13:14.078232
2020-10-25 18:13:14.178985
2020-10-25 18:13:14.279479
2020-10-25 18:13:14.380024
2020-10-25 18:13:14.480562
2020-10-25 18:13:14.581271
2020-10-25 18:13:14.681951
2020-10-25 18:13:14.782642
2020-10-25 18:13:14.883351
2020-10-25 18:13:14.984051
2020-10-25 18:13:15.084773
2020-10-25 18:13:15.185462
2020-10-25 18:13:15.286150
2020-10-25 18:13:15.386861
2020-10-25 18:13:15.487568
2020-10-25 18:13:15.588255
2020-10-25 18:13:15.689022
2020-10-25 18:13:15.789673
2020-10-25 18:13:15.890347
2020-10-25 18:13:15.991011
2020-10-25 18:13:16.091636
2020-10-25 18:13:16.192408
2020-10-25 18:13:16.293119
2020-10-25 18:13:16.393835
2020-10-25 18:13:16.494548
2020-10-25 18:13:16.595238
2020-10-25 18:13:16.695925
2020-10-25 18:13:16.796606
2020-10-25 18:13:16.897270
2020-10-25 18:13:16.997948
2020-10-25 18:13:17.098649
2020-10-25 18:13:17.199346
2020-10-25 18:13:17.300048
2020-10-25 18:13:17.400739
2020-10-25 18:13:17.501411
2020-10-25 18:13:17.602100
2020-10-25 18:13:17.702806
2020-10-25 18:13:17.803492
2020-10-25 18:13:17.904128
2020-10-25 18:13:18.004817
2020-10-25 18:13:18.105543
2020-10-25 18:13:18.206149
2020-10-25 18:13:18.306878
2020-10-25 18:13:18.407561
2020-10-25 18:13:18.508269
2020-10-25 18:13:18.609021
2020-10-25 18:13:18.709653
2020-10-25 18:13:18.810331
2020-10-25 18:13:18.911010
2020-10-25 18:13:19.011726
2020-10-25 18:13:19.112320
2020-10-25 18:13:19.212942
2020-10-25 18:13:19.313598
2020-10-25 18:13:19.414288
2020-10-25 18:13:19.514964
2020-10-25 18:13:19.615537
2020-10-25 18:13:19.716233
2020-10-25 18:13:19.816891
2020-10-25 18:13:19.917574
2020-10-25 18:13:20.018273
2020-10-25 18:13:20.118899
2020-10-25 18:13:20.219500
2020-10-25 18:13:20.320156
2020-10-25 18:13:20.420836
2020-10-25 18:13:20.521500
2020-10-25 18:13:20.622136
2020-10-25 18:13:20.722724
2020-10-25 18:13:20.823381
2020-10-25 18:13:20.924058
2020-10-25 18:13:21.024668
2020-10-25 18:13:21.125359
2020-10-25 18:13:21.225938
2020-10-25 18:13:21.326615
2020-10-25 18:13:21.427272
2020-10-25 18:13:21.527926
2020-10-25 18:13:21.628616
2020-10-25 18:13:21.729295
2020-10-25 18:13:21.829993
2020-10-25 18:13:21.930666
2020-10-25 18:13:22.031345
2020-10-25 18:13:22.132058
2020-10-25 18:13:22.232739
2020-10-25 18:13:22.333419
2020-10-25 18:13:22.434092
2020-10-25 18:13:22.534709
2020-10-25 18:13:22.635308
2020-10-25 18:13:22.735951
2020-10-25 18:13:22.836492
2020-10-25 18:13:22.937130
2020-10-25 18:13:23.037781
2020-10-25 18:13:23.138436
2020-10-25 18:13:23.238993
2020-10-25 18:13:23.339574
2020-10-25 18:13:23.440215
2020-10-25 18:13:23.540810
2020-10-25 18:13:23.641451
2020-10-25 18:13:23.742106
2020-10-25 18:13:23.842625
2020-10-25 18:13:23.943214
2020-10-25 18:13:24.043848
2020-10-25 18:13:24.144529
2020-10-25 18:13:24.245129
2020-10-25 18:13:24.345580
2020-10-25 18:13:24.446234
2020-10-25 18:13:24.546905
2020-10-25 18:13:24.647561
2020-10-25 18:13:24.748205
2020-10-25 18:13:24.848819
2020-10-25 18:13:24.949487
2020-10-25 18:13:25.050161
2020-10-25 18:13:25.150809
2020-10-25 18:13:25.251486
2020-10-25 18:13:25.352180
2020-10-25 18:13:25.452880
2020-10-25 18:13:25.553570
2020-10-25 18:13:25.654277
2020-10-25 18:13:25.754982
2020-10-25 18:13:25.855551
2020-10-25 18:13:25.956239
2020-10-25 18:13:26.056945
2020-10-25 18:13:26.157641
2020-10-25 18:13:26.258339
2020-10-25 18:13:26.359074
2020-10-25 18:13:26.459762
2020-10-25 18:13:26.560451
2020-10-25 18:13:26.661139
2020-10-25 18:13:26.761761
2020-10-25 18:13:26.862505
2020-10-25 18:13:26.963195
2020-10-25 18:13:27.063884
2020-10-25 18:13:27.164590
2020-10-25 18:13:27.265311
2020-10-25 18:13:27.366009
2020-10-25 18:13:27.466704
2020-10-25 18:13:27.567405
2020-10-25 18:13:27.668109
2020-10-25 18:13:27.768788
2020-10-25 18:13:27.869478
2020-10-25 18:13:27.970170
2020-10-25 18:13:28.070809
2020-10-25 18:13:28.171523
2020-10-25 18:13:28.272303
2020-10-25 18:13:28.373013
2020-10-25 18:13:28.473712
2020-10-25 18:13:28.574420
2020-10-25 18:13:28.675096
2020-10-25 18:13:28.775782
2020-10-25 18:13:28.876389
2020-10-25 18:13:28.977075
2020-10-25 18:13:29.077759
2020-10-25 18:13:29.178415
2020-10-25 18:13:29.279009
2020-10-25 18:13:29.379719
2020-10-25 18:13:29.480422
2020-10-25 18:13:29.581136
2020-10-25 18:13:29.681856
2020-10-25 18:13:29.782562
2020-10-25 18:13:29.883236
2020-10-25 18:13:29.983879
2020-10-25 18:13:30.084573
2020-10-25 18:13:30.185297
2020-10-25 18:13:30.286004
2020-10-25 18:13:30.386717
2020-10-25 18:13:30.487416
2020-10-25 18:13:30.588106
2020-10-25 18:13:30.688783
2020-10-25 18:13:30.789473
2020-10-25 18:13:30.890162
2020-10-25 18:13:30.990863
